"id","income_children_total","income_children_total_frequency","assistance_program","case_number","address","address2","city","state","zip","phone","contact_method","email_address","ssn","no_ssn","created_at","updated_at","id","application_id","first_name","last_name","middle_initial","income_work","income_work_frequency","income_public_assistance","income_public_assistance_frequency","income_other","income_other_frequency","income_data","id","application_id","first_name","last_name","middle_initial","is_student","is_foster","is_homeless_migrant_runaway","ethnicity","race","income_data"
1738006,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_phone","mab6bf@virginia.edu",NULL,"00000000",1456241600,1456241600,8,1738006,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,1738006,"Michael","Bray","B","00000000","00000000","00000000","ethnicity_not_hispanic_latino","[\"race_white\"]",NULL
1738007,NULL,NULL,"snap",12345678,"901 N Pollard St","Apt 909","Arlington","VA",22203,3042314103,"contact_info_email","mab6bf@virginia.edu",NULL,"00000000",1456243918,1456243918,9,1738007,"Michael","Bray","A",NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,1738007,"Michael","Bray","B","00000000","00000000","00000000","ethnicity_no_answer","[\"race_white\"]",NULL
1738008,NULL,NULL,"snap",123,"asdf","","sdf","AL",12345,"","contact_info_text","",NULL,"00000001",1456243995,1456243995,10,1738008,"joh","do","s",NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,1738008,"asdf","asdf","","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738009,NULL,NULL,"snap","123456A","123 abc way",1,"Tustin","CA",93434,"555-555-12","contact_info_phone","",NULL,"00000000",1456254059,1456254059,11,1738009,"J","D","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,1738009,"Jimmy","Appleseed","","00000000","00000000","00000000","ethnicity_hispanic_latino","null",NULL
1738010,NULL,NULL,NULL,NULL,"1021 N Garfield St","Apt B27","Arlington","VA",22201,9189374265,"contact_info_text","Eric1868@gmail.com",NULL,"00000000",1456267604,1456267604,13,1738010,"Eric","Miller","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,1738010,"John","Doe","","00000000","00000000","00000000","ethnicity_no_answer","[\"race_asian_black_african_american\",\"race_native_hawaiian_other_pacific_islander\"]",NULL
1738011,NULL,NULL,"snap",123456789,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456327877,1456327877,14,1738011,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,1738011,"Joe","Perez","C","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738011,NULL,NULL,"snap",123456789,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456327877,1456327877,14,1738011,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,1738011,"Sara","Perez","B","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738012,NULL,NULL,NULL,NULL,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456413442,1456413442,15,1738012,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,1738012,"Joe","Perez","C","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738012,NULL,NULL,NULL,NULL,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456413442,1456413442,15,1738012,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,1738012,"Sara","Perez","B","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738013,NULL,NULL,NULL,NULL,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456419018,1456419018,16,1738013,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,1738013,"Joe","Perez","C","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738013,NULL,NULL,NULL,NULL,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456419018,1456419018,16,1738013,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,1738013,"Sara","Perez","B","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738014,NULL,NULL,"snap",234342,4324324,"","afsd","AZ",3433,"","contact_info_email","",NULL,"00000001",1456446785,1456446785,17,1738014,"Eric","Miller",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,1738014,234,"43fsd","J","00000000","00000000","00000000",NULL,"null",NULL
1738015,NULL,NULL,NULL,NULL,12314,"","TUlsa","OK",74055,"","contact_info_email","",NULL,"00000001",1456446966,1456446966,18,1738015,"John","SMith","J",NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,1738015,"asf","asfd","d","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738015,NULL,NULL,NULL,NULL,12314,"","TUlsa","OK",74055,"","contact_info_email","",NULL,"00000001",1456446966,1456446966,18,1738015,"John","SMith","J",NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,1738015,"afsd","dssfs","d","00000000","00000000","00000000","ethnicity_no_answer","null",NULL
1738016,NULL,NULL,"snap",123456789,"123 Orchard Street","","Vienna","VA",22180,555555555,"contact_info_email","edyahn@gmail.com",NULL,"00000000",1456500322,1456500322,19,1738016,"Bob","Evans","",NULL,NULL,NULL,NULL,NULL,NULL,"[]",29,1738016,"Junior","Evans","","00000000","00000000","00000000","ethnicity_hispanic_latino","null","[]"
1738016,NULL,NULL,"snap",123456789,"123 Orchard Street","","Vienna","VA",22180,555555555,"contact_info_email","edyahn@gmail.com",NULL,"00000000",1456500322,1456500322,19,1738016,"Bob","Evans","",NULL,NULL,NULL,NULL,NULL,NULL,"[]",30,1738016,"Suzie","Evans","","00000000","00000000","00000000","ethnicity_hispanic_latino","null","[]"
1738017,NULL,NULL,"snap",123456,"s","","s","MT","s","","contact_info_email","",NULL,"00000001",1456510683,1456510683,21,1738017,"Brett","C","C",NULL,NULL,NULL,NULL,NULL,NULL,"[]",32,1738017,"Sonny","McFee","","00000000","00000000","00000000",NULL,"null","[]"
1738018,NULL,NULL,"snap",123456789,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456512684,1456512684,22,1738018,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,"[]",33,1738018,"Joe","Perez","C","00000000","00000000","00000000","ethnicity_no_answer","null","[]"
1738018,NULL,NULL,"snap",123456789,"3 Maple Lane","","Washington","DC",20003,"867-123-45","contact_info_email","perez@gmail.com",NULL,"00000001",1456512684,1456512684,22,1738018,"Ronaldo","Perez","M",NULL,NULL,NULL,NULL,NULL,NULL,"[]",34,1738018,"Sara","Perez","B","00000000","00000000","00000000","ethnicity_no_answer","null","[]"
1738019,NULL,NULL,NULL,NULL,"1234 vine drive","","highland park","IL",60035,"","contact_info_email","",NULL,"00000001",1456521357,1456521357,24,1738019,"Susan","s","",NULL,NULL,NULL,NULL,NULL,NULL,"{\"adult_earnings_from_work\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"455\",\"frequency\":\"twice_a_week\"}],\"adult_public_asst\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"adult_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}]}",37,1738019,"Sue","Bobby Sue","","00000000","00000000","00000000","ethnicity_hispanic_latino","[\"race_asian_black_african_american\"]","[]"
1738019,NULL,NULL,NULL,NULL,"1234 vine drive","","highland park","IL",60035,"","contact_info_email","",NULL,"00000001",1456521357,1456521357,25,1738019,"mary","gene","",NULL,NULL,NULL,NULL,NULL,NULL,"{\"adult_earnings_from_work\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"adult_public_asst\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"adult_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}]}",37,1738019,"Sue","Bobby Sue","","00000000","00000000","00000000","ethnicity_hispanic_latino","[\"race_asian_black_african_american\"]","[]"
1738020,NULL,NULL,NULL,NULL,"","","Tulsa","OK",74055,"","contact_info_phone","",NULL,"00000001",1456601178,1456601178,26,1738020,"Eric","Miller","",NULL,NULL,NULL,NULL,NULL,NULL,"{\"adult_earnings_from_work\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"adult_public_asst\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"adult_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}]}",38,1738020,"Jane","Doe","","00000000","00000000","00000000","ethnicity_no_answer","[\"race_white\"]","{\"child_earnings_from_work\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"child_ssn_benefits\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"child_spending_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"child_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}]}"
1738021,NULL,NULL,NULL,NULL,"","","Tulsa","OK",74055,"","contact_info_phone","",NULL,"00000001",1456601770,1456601770,27,1738021,"Eric","Miller","",NULL,NULL,NULL,NULL,NULL,NULL,"{\"adult_earnings_from_work\":[{\"status\":\"1\",\"type\":\"Income Type\",\"amount\":\"3434\",\"frequency\":\"weekly\"}],\"adult_public_asst\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"adult_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}]}",39,1738021,"Jane","SMith","","00000000","00000000","00000000","ethnicity_no_answer","[\"race_white\"]","{\"child_earnings_from_work\":[{\"status\":\"1\",\"type\":\"Income Type\",\"amount\":\"3434\",\"frequency\":\"weekly\"},{\"type\":\"Income Type\",\"amount\":\"3434\",\"frequency\":\"weekly\"}],\"child_ssn_benefits\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"child_spending_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}],\"child_other_income\":[{\"status\":\"0\",\"type\":\"Income Type\",\"amount\":\"\",\"frequency\":\"weekly\"}]}"
